Gene.stable.ID,Gene.name
ENSMUSG00000082740,GM14127
ENSMUSG00000083203,GM11421
ENSMUSG00000083371,GM11422
ENSMUSG00000081828,GM11420
ENSMUSG00000110143,OLFR580-PS1
ENSMUSG00000025401,MYO1A
ENSMUSG00000116246,GM4106
ENSMUSG00000054405,DNAJC8
ENSMUSG00000109845,OLFR581-PS1
ENSMUSG00000116150,GM3711
ENSMUSG00000116388,GM3749
ENSMUSG00000116521,GM4111
ENSMUSG00000027298,TYRO3
ENSMUSG00000114618,GM41183
ENSMUSG00000067377,TSPAN6
ENSMUSG00000083238,HSPE1-PS4
ENSMUSG00000046962,ZBTB21
ENSMUSG00000056167,CNOT10
ENSMUSG00000111750,GM47886
ENSMUSG00000049680,URGCP
ENSMUSG00000087323,GM14170
ENSMUSG00000047844,BEX4
ENSMUSG00000117872,A530088E08RIK
ENSMUSG00000086391,1700042O10RIK
ENSMUSG00000036907,C1QL2
ENSMUSG00000084017,RPL21-PS9
ENSMUSG00000059058,TMA7-PS
ENSMUSG00000103676,GM38204
ENSMUSG00000104224,GM37693
ENSMUSG00000102869,2900097C17RIK
ENSMUSG00000104440,GM19030
ENSMUSG00000116679,GM49739
ENSMUSG00000020182,DDC
ENSMUSG00000083782,GM11660
ENSMUSG00000101275,1700012E03RIK
ENSMUSG00000061272,GM14173
ENSMUSG00000111157,GM47887
ENSMUSG00000052142,RASAL3
ENSMUSG00000110667,GM45720
ENSMUSG00000117285,GM49863
ENSMUSG00000110662,GM45722
ENSMUSG00000087480,GM15910
ENSMUSG00000110548,GM45721
ENSMUSG00000038195,RILP
ENSMUSG00000117192,GM18649
ENSMUSG00000110793,GM7395
ENSMUSG00000031841,CDH13
ENSMUSG00000086444,GM15961
ENSMUSG00000051236,MSRB3
ENSMUSG00000063415,CYP26B1
ENSMUSG00000086548,GM12972
ENSMUSG00000099928,GM29202
ENSMUSG00000013415,IGF2BP1
ENSMUSG00000093722,GM20612
ENSMUSG00000032089,IL10RA
ENSMUSG00000034063,4930590J08RIK
ENSMUSG00000045975,C2CD2
ENSMUSG00000019810,FUCA2
ENSMUSG00000039414,HEATR5B
ENSMUSG00000103222,GM37729
ENSMUSG00000026715,SERPINC1
ENSMUSG00000085398,4931406G06RIK
ENSMUSG00000108625,GM44711
ENSMUSG00000039851,4932438H23RIK
ENSMUSG00000075070,4932412D23RIK
ENSMUSG00000025081,TDRD1
ENSMUSG00000087552,GM15819
ENSMUSG00000047881,RELL1
ENSMUSG00000083462,GM12501
ENSMUSG00000087042,GM11611
ENSMUSG00000081176,H3F3A-PS2
ENSMUSG00000105961,GM40123
ENSMUSG00000116981,GM49611
ENSMUSG00000038453,SRCIN1
ENSMUSG00000017801,MLX
ENSMUSG00000061947,SERPINA10
ENSMUSG00000043618,EIF5AL3-PS
ENSMUSG00000097224,GM26716
ENSMUSG00000085779,ATCAYOS
ENSMUSG00000068749,PSMA5
ENSMUSG00000087451,GM12970
ENSMUSG00000026725,TNN
ENSMUSG00000025743,SDC3
ENSMUSG00000083844,UBE2D-PS
ENSMUSG00000040797,IQSEC3
